Name,Type,Description,Link,Functional Category,Status,OS Min Compatible,Measure Type,Toolkit Wrapper,Source Repo
Reduce Lighting Loads by Percentage,Ruby measure,"The lighting system in this building uses more power per area than is required with the latest lighting technologies.  Replace the lighting system with a newer, more efficient lighting technology.  Newer technologies provide the same amount of light but use less energy in the process.Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/791f3404-a28b-4a80-ba3f-e15b339e39ea,,,,,,
Reduce Night Time Lighting Loads,Ruby measure,Many buildings have lights that run unnecessarily at night.  Turning these lights off at night can provide energy savings without impacting the day-to-day operation of the building occupants.  Implementing this change may require coordination with after-hours cleaning and maintenance crews.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/acce8fde-a5d7-4c27-af89-28327132bafa,,,,,,
Fan Assist Night Ventilation,Ruby measure,"This measure is meant to roughly model the impact of fan assisted night ventilation. The user needs to have a ventilation schedule in the model, operable windows where natural ventilation is desired, and air walls or interior operable windows in walls and floors to define the path of air through...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/5e77cb11-0fa9-432b-97bd-87c40949ee1f,,,,,,
Improve Motor Efficiency in Selected Fans and Pumps,Ruby measure,"The assessment team observed opportunities for motor efficiency improvements on HVAC systems. These motors are asynchronous induction motors.
There are currently motors on the market that are far superior to standard efficiency motors. These come in both premium efficiency and ultra-efficiency...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/52013ba9-7b9b-4ffd-bc67-d4c0fa05d7ae,,,,,,
Reduce Electric Equipment Loads by Percentage,Ruby measure,"Reduce Electric Equipment Loads by Percentage
  Reduce electric equipment loads. This will affect equipment that have a, power, power per area (LPD), or power per person value. This can be applied to the entire building or a specific space type. A positive percentage...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/0902e302-70db-4339-99b0-17f08bc93629,,,,,,
Add Daylight Sensor at the Center of Spaces with a Specified Space Type Assigned,Ruby measure,This measure will add daylighting controls to spaces that that have space types assigned with names containing the string in the argument. You can also add a cost per space for sensors added to the model.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/62babdc7-c81e-4dfd-96e8-af1628a55167,,,,,,
Enable Demand Controlled Ventilation,Ruby measure,The facility currently does not have a demand controlled ventilation system or CO2 sensors in the air delivery system. Outside air is introduced and conditioned at a fixed rate based on the maximum design. Since the building occupancy fluctuates and is often less than the maximum design...Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/3ff4b412-8689-4b11-a588-935c621dc97d,,,,,,
Enable Economizer Control,Ruby measure,"There is currently not a functioning air side economizer enabled in the building. Air side economizers use cold outside air to either assist the mechanical cooling system, or if the air is cold enough, provide all of the cooling for a facility.
In order for an air side economizer to...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/f8cc920d-8ae3-411a-922f-e6fed3223c4d,,,,,,
GLHEProGFunctionImport,Ruby measure,"After running GLHEPro to size the GLHE and export the G Function .idf file, use this measure to import these GLHE inputs back into the model.  In order to export the loads necessary to size the bore field, see the Reporting measure called 'GLHEPro Export Loads for Ground Heat Exchanger Sizing.'Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/001536d4-5048-4bc7-a327-57852f33c263,,,,,,
Increase R-value of Insulation for Exterior Walls to a Specific Value,Ruby measure,"Set the R-Value of exterior wall insulation to a specified value.  Higher R-Values provide better insulation, lowering heat loss and heat gain through the exterior walls. Costs for a construction can be adjustedRepo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/3fdf9c39-d305-449b-a4b5-077166af5a67,,,,,,
Increase R-value of Insulation for Exterior Walls By a Specified Percentage,Ruby measure,Increase the R value of the insulation layer in wall constructinons by a percentage.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/7508c563-22bd-49f4-b646-aac69b02a82d,,,,,,
Increase R-value of Insulation for Roofs by a Specified Percentage.,Ruby measure,Increase the R value of the insulation layer in roof constructinons by a percentage.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/807d3ebf-c89b-4b93-b400-110ca060b2bb,,,,,,
Reduce Night Time Electric Equipment Loads,Ruby measure,"Many buildings have electric equipment that runs unnecessarily at night.  Turning this equipment off at night can provide energy savings without impacting the day-to-day operation of the building occupants.  Before implementing this change, make sure that equipment can be brought back online...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/7bde0d05-3714-43e2-91b4-aa1e12e714bf,,,,,,
ReduceSpaceInfiltrationByPercentage,Ruby measure,This measure will reduce space infiltration rates by the requested percentage. A cost per square foot of building area can be added to the model.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/6e9de4b1-aa97-4010-80c8-529e53ffe943,,,,,,
ReduceVentilationByPercentage,Ruby measure,This measure will reduce space ventilation rates by the requested percentage. A cost per square foot of building area can be added to the model.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/f0859a47-fddf-4962-9035-2f9fc9d6e283,,,,,,
Add Variable Speed RTU Control Logic,Ruby measure,This measure adds control logic for a variable-speed RTU to the model. The control logic is responsible for staging the fan in response to the amount of heating/cooling required. It is meant to be paired specifically with the Create Variable Speed RTU OpenStudio measure. Users enter the fan flow...Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/7d0aebdd-58c5-4e0e-9217-5dbdc82886fd,,,,,,
Create Variable Speed RTU,Ruby measure,"This measure examines the existing HVAC system(s) present in the current OpenStudio model. If a constant-speed system is found, the user can opt to have the measure replace that system with a variable-speed RTU. 'Variable speed' in this case means that the compressor will be operated using...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/7fb36b3a-5591-4627-a2b0-7709fbeae593,,,,,,
NZEHVAC,Ruby measure,"This measure replaces the existing HVAC system if any with the user selected HVAC system.  The user can select how to partition the system, applying it to the whole building, a system per building type, a system per building story, or automatically partition based on residential/non-residential...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/f060dff2-b28d-4194-a6af-e66d88ddb33c,,,,,,
Replace Water Heater Mixed with Thermal Storage Chilled Water,Ruby measure,This measure is a quick fix for GUI issue that prevents putting thermal storage on two plant loops.Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/f219279a-96b6-4636-b663-467d554e42a5,,,,,,
GLHEProExportLoadsforGroundHeatExchangerSizing,Ruby measure,Exports a .gt1 file that can be imported into GLHEPro as part of determining the size of a vertical ground heat exchanger borefield.  This file contains the monthly heating and cooling energy and peak heating and cooling rate for district heating and cooling plants in the model.  These numbers...Repo: NREL/openstudio-ee-gem,https://bcl.nrel.gov/content/7bb0ce67-cffb-4ef6-b7fb-093c7c43e263,,,,,,
GLHEProSetupExportLoadsforGroundHeatExchangerSizing,Ruby measure,"Requests that EnergyPlus output the district heating and district cooling rates at an hourly interval.  These rates will be used by the Measure called ""GLHEPro Export Loads for Ground Heat Exchanger Sizing"" to create a .gt1 file that is used by GLHEPro to help designers size ground heat...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/9fd3ea9b-ed9f-423a-95dd-fb2bcea0d641,,,,,,
Increase R-value of Insulation for Roofs to a Specific Value,Ruby measure,"Set the R-Value of roof insulation to a specified value.  Higher R-Values provide better insulation, lowering heat loss and heat gain through the roof.Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/65b798f4-207f-4aed-987a-386c865d0ccd,,,,,,
Generic QAQC,Ruby measure,This measure extracts key simulation results and performs basic model QAQC checks. Each category of checks provides a description of the source of the check. In some cases the target standards and tollerances are adjustable.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/d58d6b29-69ba-4915-b907-3c2c37ddb7c7,,,,,,
Envelope and Internal Load Breakdown,Ruby measure,Report provides annual and monthly views into heat gains and losses for envelope and internal loads.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/8f0e1fbb-8bc6-46e5-b6e4-db59177e2c02,,,,,,
HVAC Psychrometric Chart,Ruby measure,A psychrometric chart shows the relationship between air temperature and humidity conditions.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/97213780-0727-4462-8ec0-9a6c3e475cd6,,,,,,
OpenStudio Results,Ruby measure,"This measure creates high level tables and charts pulling both from model inputs and EnergyPlus results. It has building level information as well as detail on space types, thermal zones, HVAC systems, envelope characteristics, and economics. Click the heading above a chart to view a table of...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/a25386cd-60e4-46bc-8b11-c755f379d916,,,,,,
Example Report,Ruby measure,"Simple example of modular code to create tables and charts in OpenStudio reporting measures. This is not meant to use as is, it is an example to help with reporting measure development.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/174a6f71-3e8c-4f99-9e7a-b64f2e7535d4,,,,,,
Create and Configure ZoneCapacitanceMultiplier,Ruby measure,"Creates ZoneCapacitanceMultiplier fully configurable objects for the requested zones. If you a user needs different capacitance multiplier values for different zones, use multiple measures in a workflow and request objects for the different zone names.Repo: AMBER-Group-CSM/openstudio-amber-measures-gem",https://bcl.nrel.gov/content/637bf7bb-25be-4dd7-a463-4cc0cef99315,,,,,,
Calibration Reports,Ruby measure,Reports modeled energy consumpiton and peak demand by fuel per utility billing period.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/2baede0a-65f3-47ec-b5f6-9c21d0f91aff,,,,,,
Cooling Coils DX Single Speed Multiplier,Ruby measure,This is a general purpose measure to calibrate DX Cooling Coils with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/97d0dbdf-6245-4cfd-8dfc-a6a5eb853b16,,,,,,
Cooling Coils DX Two Speed Percent Change,Ruby measure,This is a general purpose measure to calibrate DX Cooling Coils with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/2145d3a3-60fd-4b95-8faf-33e2402934fc,,,,,,
Cooling Coils Water Multiplier,Ruby measure,This is a general purpose measure to calibrate Water Cooling Coils with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/0fb42580-a644-4291-9a08-05521a6e7940,,,,,,
Cooling Coils Water PercentChange,Ruby measure,This is a general purpose measure to calibrate Water Cooling Coils with a PercentChange.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/51bc1f02-f01b-4c5e-818a-db76ed783665,,,,,,
Hard Size HVAC,Ruby measure,Run a simulation to autosize HVAC equipment and then apply these autosized values back to the model.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/d7da749f-6318-4077-b502-25994a713b27,,,,,,
Change R-value of Insulation Layer for Construction By a Specified Percentage,Ruby measure,Change R-value of Insulation Layer for Construction By a Specified PercentageRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/7ee248fd-052a-48d6-a8eb-b1fc6a0dc348,,,,,,
Roof Thermal Properties Multiplier,Ruby measure,"Change Roof by altering the thermal resistance, density, and solar absorptance of the wall constructions by a MultiplierRepo: NREL/openstudio-calibration-gem",https://bcl.nrel.gov/content/6c4eb22b-770f-456c-bcd1-084cfad89eeb,,,,,,
Roof Thermal Properties Percent Change,Ruby measure,"Change Roof by altering the thermal resistance, density, and solar absorptance of the wall constructions by a Percent ChangeRepo: NREL/openstudio-calibration-gem",https://bcl.nrel.gov/content/07516685-60fd-4da8-9872-1154a995047d,,,,,,
Water Heater Mixed Percent Change,Ruby measure,This is a general purpose measure to calibrate WaterHeaterMixed with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/c42bf4e7-2bbb-44c6-ab91-e6ddb53e050d,,,,,,
Shift Hours of Operation,Ruby measure,This measure will infer the hours of operation for the building and then will shift the start of the hours of operation and change the duration of the hours of operation. In an alternate workflow you can directly pass in target start and duration rather than a shift and delta. Inputs can vary...Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/e8ae02a4-4be2-45c3-b85b-2a1d94662653,,,,,,
AddMonthlyUtilityData,Ruby measure,Reads in custom format and adds utility dataRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/6da969e0-4256-49bf-9607-26504cc3d421,,,,,,
Calibration Reports Enhanced,Ruby measure,This measure is intended for calibibration of modeled results against user entered utility bill.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/e6642d40-7366-4647-8724-53a37991d668,,,,,,
Cooling Coils DX Single Speed Percent Change,Ruby measure,This is a general purpose measure to calibrate DX Cooling Coils with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/97d0dbdf-6245-4cfd-8dfc-a6a5eb853b37,,,,,,
Cooling Coils DX Two Speed Multiplier,Ruby measure,This is a general purpose measure to calibrate DX Cooling Coils with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/fe4f36db-e296-4c9f-8199-19f2249384dd,,,,,,
Heating Coils Electric Multiplier,Ruby measure,This is a general purpose measure to calibrate Electric Heating Coils with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/122e854c-d939-4bea-822a-89f2a5584a01,,,,,,
Heating Coils Electric Percent Change,Ruby measure,This is a general purpose measure to calibrate Electric Heating Coils with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/7c681481-16d2-4a8e-b0a3-71a86639f53a,,,,,,
Heating Coils Gas Percent Change,Ruby measure,This is a general purpose measure to calibrate Gas Heating Coils with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/8589af79-cfe7-45fb-9c79-e7b95e5fb02f,,,,,,
Heating Coils Water Multiplier,Ruby measure,This is a general purpose measure to calibrate Water Heating Coils with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/48c50a83-4092-4f2b-9968-8c820759f321,,,,,,
Heating Coils Water Percent Change,Ruby measure,This is a general purpose measure to calibrate Water Heating Coils with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/85674ff6-4fdc-463f-9695-36bf6c6a2608,,,,,,
Change Parameters Of Material (Layer 0 of Construction),Ruby measure,This measure changes properties of Layer 0 for a specific construction.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/3c7a6751-bb54-4600-9410-8f042e1a413b,,,,,,
Electric Baseboard Efficiency And Capacity,Ruby measure,Electric Baseboard Efficiency And CapacityRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/4253e38c-6b48-4e96-8da7-002cec68d376,,,,,,
Exterior Wall Thermal Properties Multiplier,Ruby measure,"Change exterior walls by altering the thermal resistance, density, and solar absorptance of the wall constructions by a MultiplierRepo: NREL/openstudio-calibration-gem",https://bcl.nrel.gov/content/6ab39cf2-1f9e-4570-a797-360a814aaa74,,,,,,
Exterior Wall Thermal Percent Change,Ruby measure,"Change exterior walls by altering the thermal resistance, density, and solar absorptance of the wall constructions by a Percent ChangeRepo: NREL/openstudio-calibration-gem",https://bcl.nrel.gov/content/6ab39cf2-1f9e-4570-a797-360a814aaa64,,,,,,
Fans Multiplier,Ruby measure,This is a general purpose measure to calibrate Fans with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/af156383-cfe2-4798-b581-08a4cccb8877,,,,,,
Fans Percent Change,Ruby measure,This is a general purpose measure to calibrate Fans with a Percent Change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/4c13a935-976b-4d54-bf7f-a4064fb6e11d,,,,,,
General Calibration Measure Multiplier,Ruby measure,This is a general purpose measure to calibrate space and space type elements with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/d622534e-a3c9-4ba5-b616-53dce2a18ac8,,,,,,
General Calibration Measure Percent Change,Ruby measure,This is a general purpose measure to calibrate space and space type elements with a percent change.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/0f583ac1-fa7e-48bc-9f80-12ed17180669,,,,,,
Change R-value of Insulation Layer for Construction By a Multiplier,Ruby measure,Change R-value of Insulation Layer for Construction By a MultiplierRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/3c7a6751-bb54-4600-9410-8f042e1a513b,,,,,,
Water Heater Mixed Multiplier,Ruby measure,This is a general purpose measure to calibrate WaterHeaterMixed with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/1e4d5053-d2c1-400d-9192-7a470e5a7b5c,,,,,,
Inspect and Edit Parametric Schedules,Ruby measure,"This model will create arguments out of additional property inputs for parametric schedules in the model. You can use this just to inspect, or you can alter the inputs. It will not make parametric inputs for schedules that are not already setup as parametric. If you want to generate parametric...Repo: NREL/openstudio-calibration-gem",https://bcl.nrel.gov/content/4b5f610d-caac-47c2-bd5b-610e2fc0768e,,,,,,
Heating Coils Gas Multiplier,Ruby measure,This is a general purpose measure to calibrate Gas Heating Coils with a Multiplier.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/a4843fc4-4cc7-4112-b5a9-aef81cbeac63,,,,,,
Add Monthly JSON Utility Data,Ruby measure,Add Monthly JSON Utility DataRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/6da969e0-4256-49bf-9607-26504cc3d423,,,,,,
Add Central Ice Storage,Ruby measure,This measure adds an ice storage tank to a chilled water loop for the purpose of thermal energy storage.Repo: NREL/openstudio-load-flexibility-measures-gem,https://bcl.nrel.gov/content/48f37812-0cb6-4770-b695-beb8d8a5660d,,,,,,
Add HPWH for Domestic Hot Water,Ruby measure,"This measure adds or replaces existing domestic hot water heater with air source heat pump system and allows for the addition of multiple daily flexible control time windows. The heater/tank system may charge at maximum capacity up to an elevated temperature, or float without any heat addition...Repo: NREL/openstudio-load-flexibility-measures-gem",https://bcl.nrel.gov/content/518cde6f-1806-4b9a-bee9-ccaac49c7a53,,,,,,
Add Packaged Ice Storage,Ruby measure,This measure removes the cooling coils in the model and replaces them with packaged air conditioning units with integrated ice storage.Repo: NREL/openstudio-load-flexibility-measures-gem,https://bcl.nrel.gov/content/2aa8c128-53b9-49fd-9aaf-9253a1f05936,,,,,,
PeakPeriodSchedulesShift,Ruby measure,Shifts select weekday (or weekday/weekend) schedules out of a peak period.Repo: NREL/openstudio-load-flexibility-measures-gem,https://bcl.nrel.gov/content/4954275f-9caf-422c-9e1f-061244ade152,,,,,,
ShiftScheduleByType,Ruby measure,"This measure was developed for the URBANopt Class Project and shifts specific building schedules if they include cooling (""CLG""), heating (""HTG""), or air (""Air"") strings. The measure will shift these chosen schedules by an amount specified by the user and will also output a .csv file of the...Repo: NREL/openstudio-load-flexibility-measures-gem",https://bcl.nrel.gov/content/1c642348-f074-4ad1-98ee-2208ddc89ac7,,,,,,
AssignSpacesToStories,Ruby measure,"This measure will look as space geometry and assign each space to a story, creating new stories as necessary.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/2c91fe40-db31-4334-a1dd-817cd419f1b6,,,,,,
Find and Replace Object Names in the Model,Ruby measure,This measure will find and replace the string you search for in names of all objects in the model.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/f540d66c-800f-4187-81ee-957891034d56,,,,,,
RemoveHardAssignedConstructions,Ruby measure,This will remove all construction assignments from made directly to surfaces or sub-surfaces. This may useful if you started with an Imported IDF file and now want to use construction sets.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/8fd2557e-907d-46a3-aebf-8cc81c58bc65,,,,,,
Create Bar From DOE Building Type Ratios,Ruby measure,"Creates one or more rectangular building elements based on space type ratios of selected mix of building types, along with user arguments that describe the desired geometry characteristics.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/0de3cff9-c805-42c4-964e-18cb43a22c63,,,,,,
Create Bar From Space Type Ratios,Ruby measure,"Creates one or more rectangular building elements based on space type ratios of selected mix of building types, along with user arguments that describe the desired geometry characteristics.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/3e988765-9673-46f8-9b65-99d5b86c2b22,,,,,,
Create Typical DEER Building from Model,Ruby measure,"Takes a model with space and stub space types, and assigns constructions, schedules, internal loads, hvac, and other loads such as exterior lights and service water heating.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/09cc23db-5e9b-4b11-b167-1852a15ed339,,,,,,
Find And Replace In All Thermal Zone Names,Ruby measure,"This measure will find and replace text in all thermal zone names. If the resulting name doesn't represent a unique thermal zone name it won't be changed. The search string must not be empty, but the replace string be empty.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/3573d81e-e7de-4949-be50-8abcd0f95a35,,,,,,
Merge Spaces from External File,Ruby measure,The measure lets you merge the contents from spaces in an external file into spaces in your current model. Spaces are identifed by the space name being the same in the two models. If a space is in the current model but not the external model they will be deleted. If a space is in both models the...Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/e439a1a9-d075-4a25-9f83-2dca79d2826e,,,,,,
AssignSpaceTypeBySpaceName,Ruby measure,Assign space type to spaces with names that include a user defined string. Optionally skip over spaces that already have space types assigned directly to the space.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/69ad41bb-cdfe-4a4c-a385-9efaf35b7c27,,,,,,
SetInteriorWallsAndFloorsToAdiabatic,Ruby measure,Set interior walls to Adiabatic and assign a hard construction.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/78cbde97-d7c4-425f-ab74-5053a681cc4b,,,,,,
Blended Space Type from Model,Ruby measure,This measure will remove all space type assignemnts and hard assigned internal loads from spaces that are included in the building floor area. Spaces such as plenums and attics will be left alone. A blended space type will be created from the original internal loads and assigned at the building...Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/667c2f1f-0927-4dbd-a7be-1087b5c15181,,,,,,
Create Bar From DEER Building Type Ratios,Ruby measure,"Creates one or more rectangular building elements based on space type ratios of selected mix of building types, along with user arguments that describe the desired geometry characteristics.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/aa4a7ecf-5bfd-4c5e-b0ca-e68babbacff1,,,,,,
Create Bar From Model,Ruby measure,Create a core and perimeter bar envelope based on analysis of initial model geometry.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/87fb0783-7a38-4900-8969-40e744c67814,,,,,,
Create Parametric Schedules,Ruby measure,Create parametric schedules for internal loads and HVAC availability. Replace existing schedules in model with newly generated schedules. New schedules along with hours of operation schedule will go in a building level schedule set.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/befa8099-c6a7-4045-8792-53fc7124b862,,,,,,
Create Typical DOE Building from Model,Ruby measure,"Takes a model with space and stub space types, and assigns constructions, schedules, internal loads, hvac, and other loads such as exterior lights and service water heating.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/b2c80210-33b3-4dfd-8267-535efd81f552,,,,,,
SetExtWallToGroundBoundaryConditionByStory,Ruby measure,Use this to setup one of your building stories as a basement.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/a6da6f2b-2d07-4d25-b2b4-4b1dd62df237,,,,,,
SimplifyGeometryToSlicedBar,Ruby measure,"This is an experimental measure looking at ways to simply the geometry, or to create geometry when you only no percentage of space types number of floors and total area. This technique will match the building floor area but will sacrifice the exterior exposure. So it will produce better results...Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/eb218516-5fa5-47fe-948d-274777c7d592,,,,,,
Space Type and Construction Set Wizard,Ruby measure,"Create DOE space types and or construction sets for the requested building type, climate zone, and target.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/7c65af63-4316-47c9-b7a5-68d7a019e533,,Ready,2.0.0,ModelMeasure,src/openstudio_toolkit/tasks/measures/apply_space_type_and_construction_set_wizard.py,NREL/openstudio-model-articulation-gem
Add EMPD Material Properties,Ruby measure,Adds the properties for the effective moisture penetration depth (EMPD) Heat Balance Model with inputs for penetration depths.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/91799c24-d81e-42eb-a458-f2b3a0ee1ff3,,,,,,
Blended Space Type from Floor Area Ratios,Ruby measure,"This measure will take a string argument describing the space type ratios, for space types already in the model. There is also an argument to set the new blended space type as the default space type for the building. The space types refererenced by this argument should already exist in the model.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/48ff1765-871b-4c9c-9996-a22757c534ad,,,,,,
